_raw,host,index,source,sourcetype
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-942,hmoid=5312,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-942"", moname=jie_indexer, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, MaxUsg_KBps=0.00, MinUsg_KBps=0.00, perftype=net",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-942,hmoid=5312,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-942"", moname=jie_indexer, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f687366767378, perfsubtype=disk, perftype=disk",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-942,hmoid=5312,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-942"", moname=jie_indexer, AvgUsg_mhz=140.00, MaxUsg_mhz=140.00, MinUsg_mhz=140.00, SumRdy_ms=268.00, SumSwpWait_ms=0.00, SumSys_ms=7.00, SumUsd_ms=1053.00, SumWait_ms=18667.00, instance=0, perftype=cpu",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-942,hmoid=5312,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-942"", moname=jie_indexer, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=2.00, AvgWr=4.00, AvgWr_KBps=52.00, instance=4f2339b6-96074928-380f-842b2b772db1, perfsubtype=dStore, perftype=disk",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-942,hmoid=5312,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-942"", moname=jie_indexer, AvgRd_KBps=0.00, AvgUsg_KBps=52.00, AvgWr_KBps=52.00, MaxTotLat_ms=3.00, MaxUsg_KBps=52.00, MinUsg_KBps=52.00, perfsubtype=disk, perftype=disk",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-942,hmoid=5312,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-942"", moname=jie_indexer, SumHeartbeat=0.00, Uptime_sec=735576.00, perftype=sys",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-942,hmoid=5312,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-942"", moname=jie_indexer, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f687366773372, perfsubtype=disk, perftype=disk",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1682,hmoid=5296,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1682"", moname=qa-tw-win7x64-8, AvgRd=0.00, AvgRd_KBps=1.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=2.00, AvgWr_KBps=17.00, instance=4f4e9ab6-f487a38c-d791-842b2b772db1, perfsubtype=dStore, perftype=disk",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1682,hmoid=5296,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1682"", moname=qa-tw-win7x64-8, ActAvg15m_pct=1.00, ActAvg1m_pct=2.00, ActAvg5m_pct=2.00, ActPk15m_pct=2.00, ActPk1m_pct=5.00, ActPk5m_pct=2.00, MaxLtd15_pct=0.00, MaxLtd1_pct=0.00, MaxLtd5_pct=0.00, RunAvg15m_pct=1.00, RunAvg1m_pct=2.00, RunAvg5m_pct=2.00, RunPk15m_pct=2.00, RunPk1m_pct=5.00, RunPk5m_pct=2.00, SmplCnt=160.00, SmplPrd_ms=6000.00, perftype=resCpu",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1682,hmoid=5296,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1682"", moname=qa-tw-win7x64-8, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=4.00, SumPktsTx=1.00, instance=4000, perftype=net",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:29:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1682,hmoid=5296,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1682"", moname=qa-tw-win7x64-8, AvgActWr_KB=83884.00, AvgAct_KB=167772.00, AvgCmpd_KB=37076.00, AvgCmpnRate_KBps=0.00, AvgConsum_KB=2608624.00, AvgDecmpnRate_KBps=0.00, AvgGrtd_KB=4000344.00, AvgOvrhdMax_KB=142240.00, AvgOvrhd_KB=68476.00, AvgShrd_KB=2177100.00, AvgSwpIRate_KBps=0.00, AvgSwpIn_KB=41124.00, AvgSwpORate_KBps=0.00, AvgSwpOut_KB=175224.00, AvgSwpTarg_KB=0.00, AvgSwpd_KB=156864.00, AvgUsg_pct=3.99, AvgVmctlTarg_KB=0.00, AvgVmctl_KB=0.00, AvgZero_KB=864452.00, MaxAct_KB=167772.00, MaxConsum_KB=2608624.00, MaxGrtd_KB=4000344.00, MaxOvrhd_KB=68476.00, MaxShrd_KB=2177100.00, MaxSwpIn_KB=41124.00, MaxSwpOut_KB=175224.00, MaxSwpTarg_KB=0.00, MaxSwpd_KB=156864.00, MaxUsg_pct=3.99, MaxVmctlTarg_KB=0.00, MaxVmctl_KB=0.00, MaxZero_KB=864452.00, MinAct_KB=167772.00, MinConsum_KB=2608624.00, MinGrtd_KB=4000344.00, MinOvrhd_KB=68476.00, MinShrd_KB=2177100.00, MinSwpIn_KB=41124.00, MinSwpOut_KB=175224.00, MinSwpTarg_KB=0.00, MinSwpd_KB=156864.00, MinUsg_pct=3.99, MinVmctlTarg_KB=0.00, MinVmctl_KB=0.00, MinZero_KB=864452.00, ZipSaved_KB=22556.00, Zipped_KB=37076.00, perftype=mem",esxi4115.splunk.com,vmware,VirtualMachinePerf,vmware:perf
