_raw,host,index,source,sourcetype
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgRd_KBps=0.00, AvgUsg_KBps=0.00, AvgWr_KBps=0.00, MaxTotLat_ms=0.00, perfsubtype=disk, perftype=disk",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, OsUptime_sec=10342858.00, SumHeartbeat=29.00, Uptime_sec=6048871.00, perftype=sys",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=5.00, AvgWr=0.00, AvgWr_KBps=0.00, instance=4f35a682-011eb860-cf3b-842b2b64889f, perfsubtype=dStore, perftype=disk",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1054,hmoid=9,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1054"", moname=cool_story_bro, AvgBRx_KBps=0.00, AvgBTx_KBps=0.00, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=0.00, SumPktsTx=0.00, instance=vmnic2, perftype=net",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1048,hmoid=7,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1048"", moname=new_ipv4, ActAvg15m_pct=1.00, ActAvg1m_pct=1.00, ActAvg5m_pct=1.00, ActPk15m_pct=1.00, ActPk1m_pct=1.00, ActPk5m_pct=1.00, MaxLtd15_pct=0.00, MaxLtd1_pct=0.00, MaxLtd5_pct=0.00, RunAvg15m_pct=1.00, RunAvg1m_pct=1.00, RunAvg5m_pct=1.00, RunPk15m_pct=1.00, RunPk1m_pct=1.00, RunPk5m_pct=1.00, SmplCnt=160.00, SmplPrd_ms=6000.00, perftype=resCpu",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1048,hmoid=7,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1048"", moname=new_ipv4, AvgBRx_KBps=0.00, AvgBTx_KBps=0.00, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=0.00, SumPktsTx=0.00, instance=vmnic0, perftype=net",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1048,hmoid=7,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1048"", moname=new_ipv4, AvgBRx_KBps=0.00, AvgBTx_KBps=0.00, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, SumBroadcastRx=18.00, SumBroadcastTx=0.00, SumDropRx=0.00, SumDropTx=0.00, SumMulticastRx=0.00, SumMulticastTx=0.00, SumPktsRx=18.00, SumPktsTx=0.00, instance=4000, perftype=net",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1048,hmoid=7,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1048"", moname=new_ipv4, AvgActWr_KB=5240.00, AvgAct_KB=20968.00, AvgCmpd_KB=0.00, AvgCmpnRate_KBps=0.00, AvgConsum_KB=371216.00, AvgDecmpnRate_KBps=0.00, AvgEntitle_KB=426692.00, AvgGrtd_KB=372736.00, AvgLat_pct=0.00, AvgLlSwapUsd_KB=0.00, AvgLlSwpIRate_KBps=0.00, AvgLlSwpORate_KBps=0.00, AvgOvrhdMax_KB=22148.00, AvgOvrhdTouch_KB=17292.00, AvgOvrhd_KB=17292.00, AvgShrd_KB=6336.00, AvgSwpIRate_KBps=0.00, AvgSwpIn_KB=0.00, AvgSwpORate_KBps=0.00, AvgSwpOut_KB=0.00, AvgSwpTarg_KB=0.00, AvgSwpd_KB=0.00, AvgUsg_pct=3.99, AvgVmctlTarg_KB=0.00, AvgVmctl_KB=0.00, AvgZero_KB=0.00, ZipSaved_KB=0.00, Zipped_KB=0.00, perftype=mem",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1048,hmoid=7,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1048"", moname=new_ipv4, SumEnergy_j=0.00, perftype=power",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=vSphere_5.0_VC, vmoid=vm-1048,hmoid=7,meid=""vc-5C8BE324-4C40-495C-B425-10931F0FFB68:vm-1048"", moname=new_ipv4, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=2.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=2.00, instance=naa.600508e000000000e3855e0bf192e103, perfsubtype=disk, perftype=disk",10.160.14.203,vmware,VirtualMachinePerf,vmware:perf
