_raw,host,index,source,sourcetype
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f687366786865, perfsubtype=disk, perftype=disk",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, AvgRvcd_KBps=80.00, AvgUsg_KBps=81.00, AvgXmit_KBps=1.00, MaxUsg_KBps=81.00, MinUsg_KBps=81.00, perftype=net",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a980006471682f4f6f687366767378, perfsubtype=disk, perftype=disk",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, AvgUsg_mhz=207.00, MaxUsg_mhz=207.00, MinUsg_mhz=207.00, SumRdy_ms=603.00, SumSwpWait_ms=0.00, SumSys_ms=25.00, SumUsd_ms=1562.00, SumWait_ms=17795.00, instance=0, perftype=cpu",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=25.00, AvgWr_KBps=313.00, instance=4f2339b6-96074928-380f-842b2b772db1, perfsubtype=dStore, perftype=disk",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, AvgRd_KBps=0.00, AvgUsg_KBps=313.00, AvgWr_KBps=313.00, MaxTotLat_ms=6.00, MaxUsg_KBps=313.00, MinUsg_KBps=313.00, perfsubtype=disk, perftype=disk",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, SumHeartbeat=30.00, Uptime_sec=926256.00, perftype=sys",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1382,hmoid=5328,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1382"", moname=nightly2_IDX2_SH_228, AvgCmds=25.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=25.00, AvgWr_KBps=313.00, SumBusResets=0.00, SumCmds=501.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=501.00, instance=naa.60a980006471682f4f6f687366773372, perfsubtype=disk, perftype=disk",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-567,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-567"", moname=sc-centos-essContRT-Hammer, ActAvg15m_pct=15.00, ActAvg1m_pct=14.00, ActAvg5m_pct=15.00, ActPk15m_pct=16.00, ActPk1m_pct=16.00, ActPk5m_pct=16.00, MaxLtd15_pct=0.00, MaxLtd1_pct=0.00, MaxLtd5_pct=0.00, RunAvg15m_pct=13.00, RunAvg1m_pct=13.00, RunAvg5m_pct=13.00, RunPk15m_pct=14.00, RunPk1m_pct=16.00, RunPk5m_pct=15.00, SmplCnt=160.00, SmplPrd_ms=6000.00, perftype=resCpu",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-567,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-567"", moname=sc-centos-essContRT-Hammer, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=8.00, SumBusResets=0.00, SumCmds=15.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=15.00, instance=naa.60a980006471682f4f6f687366767a46, perfsubtype=disk, perftype=disk",esxi4106.splunk.com,vmware,VirtualMachinePerf,vmware:perf
