_raw,host,index,source,sourcetype
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=10.00, SumPktsTx=0.00, instance=4000, perftype=net",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgActWr_KB=20968.00, AvgAct_KB=20968.00, AvgCmpd_KB=4348.00, AvgCmpnRate_KBps=0.00, AvgConsum_KB=924108.00, AvgDecmpnRate_KBps=0.00, AvgGrtd_KB=2078624.00, AvgOvrhdMax_KB=109288.00, AvgOvrhd_KB=41832.00, AvgShrd_KB=1503820.00, AvgSwpIRate_KBps=0.00, AvgSwpIn_KB=2248.00, AvgSwpORate_KBps=0.00, AvgSwpOut_KB=5104.00, AvgSwpTarg_KB=0.00, AvgSwpd_KB=2540.00, AvgUsg_pct=0.99, AvgVmctlTarg_KB=0.00, AvgVmctl_KB=0.00, AvgZero_KB=961976.00, MaxAct_KB=20968.00, MaxConsum_KB=924108.00, MaxGrtd_KB=2078624.00, MaxOvrhd_KB=41832.00, MaxShrd_KB=1503820.00, MaxSwpIn_KB=2248.00, MaxSwpOut_KB=5104.00, MaxSwpTarg_KB=0.00, MaxSwpd_KB=2540.00, MaxUsg_pct=0.99, MaxVmctlTarg_KB=0.00, MaxVmctl_KB=0.00, MaxZero_KB=961976.00, MinAct_KB=20968.00, MinConsum_KB=924108.00, MinGrtd_KB=2078624.00, MinOvrhd_KB=41832.00, MinShrd_KB=1503820.00, MinSwpIn_KB=2248.00, MinSwpOut_KB=5104.00, MinSwpTarg_KB=0.00, MinSwpd_KB=2540.00, MinUsg_pct=0.99, MinVmctlTarg_KB=0.00, MinVmctl_KB=0.00, MinZero_KB=961976.00, ZipSaved_KB=1172.00, Zipped_KB=3636.00, perftype=mem",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, SumEnergy_j=0.00, perftype=power",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6958334c526b, perfsubtype=disk, perftype=disk",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=0.00, AvgWr_KBps=0.00, instance=scsi0:0, perftype=vDisk",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, MaxUsg_KBps=0.00, MinUsg_KBps=0.00, perftype=net",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6a43785a5764, perfsubtype=disk, perftype=disk",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgUsg_mhz=4.00, MaxUsg_mhz=4.00, MinUsg_mhz=4.00, SumRdy_ms=40.00, SumSwpWait_ms=0.00, SumSys_ms=0.00, SumUsd_ms=31.00, SumWait_ms=19901.00, instance=0, perftype=cpu",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, AvgRd_KBps=0.00, AvgUsg_KBps=0.00, AvgWr_KBps=0.00, MaxTotLat_ms=0.00, MaxUsg_KBps=0.00, MinUsg_KBps=0.00, perfsubtype=disk, perftype=disk",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1715,hmoid=1744,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1715"", moname=perfy67, SumHeartbeat=30.00, Uptime_sec=4251580.00, perftype=sys",esxi4104.splunk.com,vmware,VirtualMachinePerf,vmware:perf
