_raw,host,index,source,sourcetype
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, ActAvg15m_pct=0.00, ActAvg1m_pct=0.00, ActAvg5m_pct=0.00, ActPk15m_pct=0.00, ActPk1m_pct=0.00, ActPk5m_pct=0.00, MaxLtd15_pct=0.00, MaxLtd1_pct=0.00, MaxLtd5_pct=0.00, RunAvg15m_pct=0.00, RunAvg1m_pct=0.00, RunAvg5m_pct=0.00, RunPk15m_pct=0.00, RunPk1m_pct=0.00, RunPk5m_pct=0.00, SmplCnt=160.00, SmplPrd_ms=6000.00, perftype=resCpu",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=6.00, SumPktsTx=0.00, instance=4000, perftype=net",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgActWr_KB=0.00, AvgAct_KB=20968.00, AvgCmpd_KB=0.00, AvgCmpnRate_KBps=0.00, AvgConsum_KB=705680.00, AvgDecmpnRate_KBps=0.00, AvgGrtd_KB=1404864.00, AvgOvrhdMax_KB=109288.00, AvgOvrhd_KB=39960.00, AvgShrd_KB=1003500.00, AvgSwpIRate_KBps=0.00, AvgSwpIn_KB=0.00, AvgSwpORate_KBps=0.00, AvgSwpOut_KB=0.00, AvgSwpTarg_KB=0.00, AvgSwpd_KB=0.00, AvgUsg_pct=0.99, AvgVmctlTarg_KB=0.00, AvgVmctl_KB=0.00, AvgZero_KB=30668.00, MaxAct_KB=20968.00, MaxConsum_KB=705680.00, MaxGrtd_KB=1404864.00, MaxOvrhd_KB=39960.00, MaxShrd_KB=1003500.00, MaxSwpIn_KB=0.00, MaxSwpOut_KB=0.00, MaxSwpTarg_KB=0.00, MaxSwpd_KB=0.00, MaxUsg_pct=0.99, MaxVmctlTarg_KB=0.00, MaxVmctl_KB=0.00, MaxZero_KB=30668.00, MinAct_KB=20968.00, MinConsum_KB=705680.00, MinGrtd_KB=1404864.00, MinOvrhd_KB=39960.00, MinShrd_KB=1003500.00, MinSwpIn_KB=0.00, MinSwpOut_KB=0.00, MinSwpTarg_KB=0.00, MinSwpd_KB=0.00, MinUsg_pct=0.99, MinVmctlTarg_KB=0.00, MinVmctl_KB=0.00, MinZero_KB=30668.00, ZipSaved_KB=0.00, Zipped_KB=0.00, perftype=mem",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, SumEnergy_j=0.00, perftype=power",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6958334c526b, perfsubtype=disk, perftype=disk",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=0.00, AvgWr_KBps=0.00, instance=scsi0:0, perftype=vDisk",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, MaxUsg_KBps=0.00, MinUsg_KBps=0.00, perftype=net",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6a43785a5764, perfsubtype=disk, perftype=disk",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgUsg_mhz=9.00, MaxUsg_mhz=9.00, MinUsg_mhz=9.00, SumRdy_ms=44.00, SumSwpWait_ms=0.00, SumSys_ms=0.00, SumUsd_ms=69.00, SumWait_ms=19849.00, instance=0, perftype=cpu",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:27:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1700,hmoid=4208,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1700"", moname=perfy52, AvgRd_KBps=0.00, AvgUsg_KBps=0.00, AvgWr_KBps=0.00, MaxTotLat_ms=0.00, MaxUsg_KBps=0.00, MinUsg_KBps=0.00, perfsubtype=disk, perftype=disk",esxi4109.splunk.com,vmware,VirtualMachinePerf,vmware:perf
