_raw,host,index,source,sourcetype
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-173,hmoid=6240,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-173"", moname=susan_linux, AvgRd_KBps=0.00, AvgUsg_KBps=0.00, AvgWr_KBps=0.00, MaxTotLat_ms=0.00, MaxUsg_KBps=0.00, MinUsg_KBps=0.00, perfsubtype=disk, perftype=disk",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-173,hmoid=6240,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-173"", moname=susan_linux, SumHeartbeat=30.00, Uptime_sec=775166.00, perftype=sys",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=7.00, AvgWr_KBps=36.00, instance=4f4e9ab6-f487a38c-d791-842b2b772db1, perfsubtype=dStore, perftype=disk",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, ActAvg15m_pct=2.00, ActAvg1m_pct=2.00, ActAvg5m_pct=2.00, ActPk15m_pct=3.00, ActPk1m_pct=3.00, ActPk5m_pct=3.00, MaxLtd15_pct=0.00, MaxLtd1_pct=0.00, MaxLtd5_pct=0.00, RunAvg15m_pct=2.00, RunAvg1m_pct=2.00, RunAvg5m_pct=2.00, RunPk15m_pct=3.00, RunPk1m_pct=3.00, RunPk5m_pct=3.00, SmplCnt=160.00, SmplPrd_ms=6000.00, perftype=resCpu",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, AvgRvcd_KBps=0.00, AvgXmit_KBps=9.00, SumPktsRx=76.00, SumPktsTx=134.00, instance=4000, perftype=net",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, AvgActWr_KB=167772.00, AvgAct_KB=335544.00, AvgCmpd_KB=0.00, AvgCmpnRate_KBps=0.00, AvgConsum_KB=3667204.00, AvgDecmpnRate_KBps=0.00, AvgGrtd_KB=4194304.00, AvgOvrhdMax_KB=134032.00, AvgOvrhd_KB=70428.00, AvgShrd_KB=1071076.00, AvgSwpIRate_KBps=0.00, AvgSwpIn_KB=0.00, AvgSwpORate_KBps=0.00, AvgSwpOut_KB=0.00, AvgSwpTarg_KB=0.00, AvgSwpd_KB=0.00, AvgUsg_pct=7.99, AvgVmctlTarg_KB=0.00, AvgVmctl_KB=0.00, AvgZero_KB=70556.00, MaxAct_KB=335544.00, MaxConsum_KB=3667204.00, MaxGrtd_KB=4194304.00, MaxOvrhd_KB=70428.00, MaxShrd_KB=1071076.00, MaxSwpIn_KB=0.00, MaxSwpOut_KB=0.00, MaxSwpTarg_KB=0.00, MaxSwpd_KB=0.00, MaxUsg_pct=7.99, MaxVmctlTarg_KB=0.00, MaxVmctl_KB=0.00, MaxZero_KB=70556.00, MinAct_KB=335544.00, MinConsum_KB=3667204.00, MinGrtd_KB=4194304.00, MinOvrhd_KB=70428.00, MinShrd_KB=1071076.00, MinSwpIn_KB=0.00, MinSwpOut_KB=0.00, MinSwpTarg_KB=0.00, MinSwpd_KB=0.00, MinUsg_pct=7.99, MinVmctlTarg_KB=0.00, MinVmctl_KB=0.00, MinZero_KB=70556.00, ZipSaved_KB=0.00, Zipped_KB=0.00, perftype=mem",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, SumEnergy_j=0.00, perftype=power",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6958334c526b, perfsubtype=disk, perftype=disk",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=7.00, AvgWr_KBps=36.00, instance=scsi0:0, perftype=vDisk",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:40 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-2275,hmoid=6224,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2275"", moname=Docs-W8R2-DC2, AvgRvcd_KBps=0.00, AvgUsg_KBps=10.00, AvgXmit_KBps=9.00, MaxUsg_KBps=10.00, MinUsg_KBps=10.00, perftype=net",esxi4111.splunk.com,vmware,VirtualMachinePerf,vmware:perf
