_raw,host,index,source,sourcetype
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6743696d7739, perfsubtype=disk, perftype=disk",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6743696f7037, perfsubtype=disk, perftype=disk",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgUsg_mhz=3.00, MaxUsg_mhz=3.00, MinUsg_mhz=3.00, SumRdy_ms=15.00, SumSwpWait_ms=0.00, SumSys_ms=1.00, SumUsd_ms=28.00, SumWait_ms=19933.00, instance=0, perftype=cpu",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6743696e5369, perfsubtype=disk, perftype=disk",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, SumHeartbeat=0.00, Uptime_sec=1032878.00, perftype=sys",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgRvcd_KBps=0.00, AvgXmit_KBps=0.00, SumPktsRx=12.00, SumPktsTx=0.00, instance=4000, perftype=net",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, SumEnergy_j=0.00, perftype=power",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgCmds=0.00, AvgRd=0.00, AvgRd_KBps=0.00, AvgWr=0.00, AvgWr_KBps=0.00, SumBusResets=0.00, SumCmds=0.00, SumCmdsAbort=0.00, SumRd=0.00, SumWr=0.00, instance=naa.60a9800064724939504a6743696f4b38, perfsubtype=disk, perftype=disk",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgRd=0.00, AvgRd_KBps=0.00, AvgTotRdLat_ms=0.00, AvgTotWrLat_ms=0.00, AvgWr=0.00, AvgWr_KBps=0.00, instance=scsi0:0, perftype=vDisk",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
"2012-05-30 23:28:20 UTC, fa=splunkvmwarefa,vc=VCENTER41, vmoid=vm-1227,hmoid=5280,meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1227"", moname=qa-tw-ubun904x86-1, AvgRvcd_KBps=0.00, AvgUsg_KBps=0.00, AvgXmit_KBps=0.00, MaxUsg_KBps=0.00, MinUsg_KBps=0.00, perftype=net",esxi4113.splunk.com,vmware,VirtualMachinePerf,vmware:perf
